ID;Data;Categoria;Adempimento;Titolo;Apparato;Supervisore;Controllore;Addetto;Stato;Costi;Tempi
1830;01/11/2026;SICUREZZA/RADIAZIONI IONIZZANTI;Attrezzature medico radiologiche;Attrezzature medico radiologiche - SABBATINI DAVIDE;SABBATINI DAVIDE - FONTE NUOVA;panichellihsc@gmail.com;panichellihsc@gmail.com;panichellihsc@gmail.com;in validita;;
1829;01/11/2026;SICUREZZA/RADIAZIONI IONIZZANTI;Attrezzature medico radiologiche;Attrezzature medico radiologiche - SABBATINI DAVIDE - POLI;SABBATINI DAVIDE - POLI;panichellihsc@gmail.com;panichellihsc@gmail.com;panichellihsc@gmail.com;in validita;;
1828;01/11/2025;SICUREZZA/RADIAZIONI IONIZZANTI;Attrezzature medico radiologiche;Attrezzature medico radiologiche - SABBATINI DAVIDE - POLI;SABBATINI DAVIDE - POLI;panichellihsc@gmail.com;panichellihsc@gmail.com;panichellihsc@gmail.com;completo;;
1827;01/11/2026;SICUREZZA/RADIAZIONI IONIZZANTI;Attrezzature medico radiologiche;Attrezzature medico radiologiche - ROSSI LANCELLOTTI MASSIMILIANO;ROSSI LANCELLOTTI MASSIMILIANO;panichellihsc@gmail.com;panichellihsc@gmail.com;panichellihsc@gmail.com;in validita;;
1826;01/11/2026;SICUREZZA/RADIAZIONI IONIZZANTI;Attrezzature medico radiologiche;Attrezzature medico radiologiche - PUPILLO FRANCESCO;PUPILLO FRANCESCO;panichellihsc@gmail.com;panichellihsc@gmail.com;panichellihsc@gmail.com;in validita;;
1825;01/11/2026;SICUREZZA/RADIAZIONI IONIZZANTI;Attrezzature medico radiologiche;Attrezzature medico radiologiche - DI BLASI ANDREA;DI BLASI ANDREA;panichellihsc@gmail.com;panichellihsc@gmail.com;panichellihsc@gmail.com;in validita;;
1824;01/11/2026;SICUREZZA/RADIAZIONI IONIZZANTI;Attrezzature medico radiologiche;Attrezzature medico radiologiche - DELLE SITE FRANCESCO;DELLE SITE FRANCESCO;panichellihsc@gmail.com;panichellihsc@gmail.com;panichellihsc@gmail.com;in validita;;
1823;01/11/2026;SICUREZZA/RADIAZIONI IONIZZANTI;Attrezzature medico radiologiche;Attrezzature medico radiologiche - CHELLO ELIO;CHELLO ELIO;panichellihsc@gmail.com;panichellihsc@gmail.com;panichellihsc@gmail.com;in validita;;
1822;01/10/2026;SICUREZZA/RADIAZIONI IONIZZANTI;Attrezzature medico radiologiche;Attrezzature medico radiologiche - PISANI MEDICAL GROUP S.R.L.;PISANI MEDICAL GROUP S.R.L.;panichellihsc@gmail.com;panichellihsc@gmail.com;panichellihsc@gmail.com;in validita;;
1821;01/10/2026;SICUREZZA/RADIAZIONI IONIZZANTI;Attrezzature medico radiologiche;Attrezzature medico radiologiche - LAURENTI SALVATORE;LAURENTI SALVATORE;panichellihsc@gmail.com;panichellihsc@gmail.com;panichellihsc@gmail.com;in validita;;
1820;01/10/2026;SICUREZZA/RADIAZIONI IONIZZANTI;Attrezzature medico radiologiche;Attrezzature medico radiologiche - DI PORTO PATRIZIA;DI PORTO PATRIZIA;panichellihsc@gmail.com;panichellihsc@gmail.com;panichellihsc@gmail.com;in validita;;
1819;01/12/2026;SICUREZZA/RADIAZIONI IONIZZANTI;Attrezzature medico radiologiche;Attrezzature medico radiologiche - PELLECCHIA STUDIO ASSOCIATO ODONTOIATRICO;PELLECCHIA STUDIO ASSOCIATO ODONTOIATRICO;panichellihsc@gmail.com;panichellihsc@gmail.com;panichellihsc@gmail.com;in validita;;
1818;01/12/2026;SICUREZZA/RADIAZIONI IONIZZANTI;Attrezzature medico radiologiche;Attrezzature medico radiologiche - CHIARI FABIO MARINO;CHIARI FABIO MARINO;panichellihsc@gmail.com;panichellihsc@gmail.com;panichellihsc@gmail.com;in validita;;
1817;01/12/2026;SICUREZZA/RADIAZIONI IONIZZANTI;Attrezzature medico radiologiche;Attrezzature medico radiologiche - BONARO MARIA;BONARO MARIA;panichellihsc@gmail.com;panichellihsc@gmail.com;panichellihsc@gmail.com;in validita;;
1816;01/12/2026;SICUREZZA/RADIAZIONI IONIZZANTI;Attrezzature medico radiologiche;Attrezzature medico radiologiche - ARMIDA MATTEO;ARMIDA MATTEO;panichellihsc@gmail.com;panichellihsc@gmail.com;panichellihsc@gmail.com;in validita;;
1815;01/12/2026;SICUREZZA/RADIAZIONI IONIZZANTI;Attrezzature medico radiologiche;Attrezzature medico radiologiche - STEFONI MAURIZIO;STEFONI MAURIZIO;panichellihsc@gmail.com;panichellihsc@gmail.com;panichellihsc@gmail.com;in validita;;
1814;01/12/2026;SICUREZZA/RADIAZIONI IONIZZANTI;Attrezzature medico radiologiche;Attrezzature medico radiologiche - SPINETTI ALESSANDRA;SPINETTI ALESSANDRA;panichellihsc@gmail.com;panichellihsc@gmail.com;panichellihsc@gmail.com;in validita;;
1813;01/12/2026;SICUREZZA/RADIAZIONI IONIZZANTI;Attrezzature medico radiologiche;Attrezzature medico radiologiche - CAVICCHIONI TIZIANA;CAVICCHIONI TIZIANA;panichellihsc@gmail.com;panichellihsc@gmail.com;panichellihsc@gmail.com;in validita;;
1812;01/12/2026;SICUREZZA/RADIAZIONI IONIZZANTI;Attrezzature medico radiologiche;Attrezzature medico radiologiche - BULZACCHI ALESSANDRO - VIDASCHI;BULZACCHI ALESSANDRO - VIDASCHI;panichellihsc@gmail.com;panichellihsc@gmail.com;panichellihsc@gmail.com;in validita;;
1811;01/12/2026;SICUREZZA/RADIAZIONI IONIZZANTI;Attrezzature medico radiologiche;Attrezzature medico radiologiche - BULZACCHI ALESSANDRO - CAMILLUCCIA;BULZACCHI ALESSANDRO - CAMILLUCCIA;panichellihsc@gmail.com;panichellihsc@gmail.com;panichellihsc@gmail.com;in validita;;
1810;01/12/2026;SICUREZZA/RADIAZIONI IONIZZANTI;Attrezzature medico radiologiche;Attrezzature medico radiologiche - SUNMED SRL;SUNMED SRL;panichellihsc@gmail.com;panichellihsc@gmail.com;panichellihsc@gmail.com;in validita;;
1809;01/10/2026;SICUREZZA/VALUTAZIONI DEI RISCHI;Valutazione dei rischi;Valutazione dei rischi - LSO LAURI STUDI ODONTOIATRICI STP - PITIGLIANO;LSO LAURI STUDI ODONTOIATRICI STP - PITIGLIANO;panichellihsc@gmail.com;panichellihsc@gmail.com;panichellihsc@gmail.com;in validita;;
1808;01/10/2025;SICUREZZA/VALUTAZIONI DEI RISCHI;Valutazione dei rischi;Valutazione dei rischi - LSO LAURI STUDI ODONTOIATRICI STP - PITIGLIANO;LSO LAURI STUDI ODONTOIATRICI STP - PITIGLIANO;panichellihsc@gmail.com;panichellihsc@gmail.com;panichellihsc@gmail.com;completo;;
1807;01/10/2026;SICUREZZA/RADIAZIONI IONIZZANTI;Attrezzature medico radiologiche;Attrezzature medico radiologiche - LSO LAURI STUDI ODONTOIATRICI STP - PITIGLIANO;LSO LAURI STUDI ODONTOIATRICI STP - PITIGLIANO;panichellihsc@gmail.com;panichellihsc@gmail.com;panichellihsc@gmail.com;in validita;;
1806;01/10/2025;SICUREZZA/RADIAZIONI IONIZZANTI;Attrezzature medico radiologiche;Attrezzature medico radiologiche - LSO LAURI STUDI ODONTOIATRICI STP - PITIGLIANO;LSO LAURI STUDI ODONTOIATRICI STP - PITIGLIANO;panichellihsc@gmail.com;panichellihsc@gmail.com;panichellihsc@gmail.com;completo;;
1805;01/11/2026;SICUREZZA/RADIAZIONI IONIZZANTI;Attrezzature medico radiologiche;Attrezzature medico radiologiche - DE PEPPO CARLO - ROMA;DE PEPPO CARLO - ROMA;panichellihsc@gmail.com;panichellihsc@gmail.com;panichellihsc@gmail.com;in validita;;
1804;01/12/2026;SICUREZZA/RADIAZIONI IONIZZANTI;Attrezzature medico radiologiche;Attrezzature medico radiologiche - CENTRO DENTALE PEVERAGNO SAS DI M. BORSARI;CENTRO DENTALE PEVERAGNO SAS DI M. BORSARI;panichellihsc@gmail.com;panichellihsc@gmail.com;panichellihsc@gmail.com;in validita;;
1803;01/02/2027;SICUREZZA/ALTRE VERIFICHE PERIODICHE;Verifica ANNUALE legionella;Verifica ANNUALE legionella - ORSINI IGIENE E PREVENZIONE S.T.P. SRL;ORSINI IGIENE E PREVENZIONE S.T.P. SRL;panichellihsc@gmail.com;panichellihsc@gmail.com;panichellihsc@gmail.com;avviato;;
1802;01/02/2027;SICUREZZA/RADIAZIONI IONIZZANTI;Attrezzature medico radiologiche;Attrezzature medico radiologiche - ORSINI IGIENE E PREVENZIONE S.T.P. SRL;ORSINI IGIENE E PREVENZIONE S.T.P. SRL;panichellihsc@gmail.com;panichellihsc@gmail.com;panichellihsc@gmail.com;avviato;;
1801;01/01/2028;SICUREZZA/VALUTAZIONI DEI RISCHI;Valutazione dei rischi da esposizione a Radiazioni Ottiche Artificiali (ROA);Valutazione dei rischi da esposizione a Radiazioni Ottiche Artificiali (ROA) - FISIOMED RETTAGLIATI;FISIOMED RETTAGLIATI;panichellihsc@gmail.com;panichellihsc@gmail.com;panichellihsc@gmail.com;in validita;;
1800;01/01/2027;SICUREZZA/VALUTAZIONI DEI RISCHI;Valutazione dei rischi da esposizione a Radiazioni Ottiche Artificiali (ROA);Valutazione dei rischi da esposizione a Radiazioni Ottiche Artificiali (ROA) - CALORI ALESSANDRO;CALORI ALESSANDRO;panichellihsc@gmail.com;panichellihsc@gmail.com;panichellihsc@gmail.com;in validita;;
1799;01/01/2027;SICUREZZA/VALUTAZIONI DEI RISCHI;Valutazione dei rischi da esposizione a Radiazioni Ottiche Artificiali (ROA);Valutazione dei rischi da esposizione a Radiazioni Ottiche Artificiali (ROA) - STUDIO ODONTOIATRICO ASSOCIATO GENTILINI;STUDIO ODONTOIATRICO ASSOCIATO GENTILINI - GENTILINI SERGIO;panichellihsc@gmail.com;panichellihsc@gmail.com;panichellihsc@gmail.com;in validita;;
1798;01/02/2027;SICUREZZA/VALUTAZIONI DEI RISCHI;Valutazione dei rischi da esposizione a Radiazioni Ottiche Artificiali (ROA);Valutazione dei rischi da esposizione a Radiazioni Ottiche Artificiali (ROA) - BRECEVICH MAURIZIO;BRECEVICH MAURIZIO;panichellihsc@gmail.com;panichellihsc@gmail.com;panichellihsc@gmail.com;in validita;;
1797;01/01/2027;SICUREZZA/VALUTAZIONI DEI RISCHI;Valutazione dei rischi da esposizione a Radiazioni Ottiche Artificiali (ROA);Valutazione dei rischi da esposizione a Radiazioni Ottiche Artificiali (ROA) - ORTOLANI-BONIFACIO;ORTOLANI-BONIFACIO;panichellihsc@gmail.com;panichellihsc@gmail.com;panichellihsc@gmail.com;in validita;;
1796;01/12/2026;SICUREZZA/VALUTAZIONI DEI RISCHI;Valutazione dei rischi da esposizione a Radiazioni Ottiche Artificiali (ROA);Valutazione dei rischi da esposizione a Radiazioni Ottiche Artificiali (ROA) - DE STEFANO VINCENZINA;DE STEFANO VINCENZINA;panichellihsc@gmail.com;panichellihsc@gmail.com;panichellihsc@gmail.com;in validita;;
1795;01/01/2027;SICUREZZA/RADIAZIONI IONIZZANTI;Attrezzature medico radiologiche;Attrezzature medico radiologiche - ELMA FETHAU;ELMA FETHAU;panichellihsc@gmail.com;panichellihsc@gmail.com;panichellihsc@gmail.com;in validita;;
1794;01/02/2027;SICUREZZA/VALUTAZIONI DEI RISCHI;Valutazione dei rischi;Valutazione dei rischi - THREE STARS MEDICAL SRL;THREE STARS MEDICAL SRL;panichellihsc@gmail.com;panichellihsc@gmail.com;panichellihsc@gmail.com;in validita;;
